"titulo","empresa","ubicacion","salario","descripcion","url"
"Night Shift Technical Support Agent (Bilingual) - MXN 19K Salary","Importante empresa del sector","Cuauhtémoc, Ciudad de México DF","$ 16,000.00","Night Owl Opportunity: Tier 1 Technical Support Agent (Overnight Shift)Are you ready to become part of a thriving corporate environment with an international scope? GlobalTech Corporation, a leader in providing technological solutions for the U.S. tax sector, is looking for dedicated professionals for our Tier 1 Technical Support team. This role focuses on delivering exceptional service and resolving technical incidents for our corporate clients.Your Role and Responsibilities:• Provide first-level technical support and resolve incidents remotely.• Accurately log all case details in our ticketing system.• Ensure timely follow-up on service requests and escalate complex problems when necessary.• Maintain a clear, professional, and solution-driven user experience for all clients.• Collaborate effectively with cross-functional technical and operational teams.Ideal Candidate Profile:• Education: High school diploma (minimum); a Bachelor's degree or technical certification is preferred.• Language: Advanced English (C1 level is essential).• Experience: Minimum of 6 months to 1 year of proven experience in technical support or customer service.• Technical Skills: Basic knowledge of ticketing platforms, remote support tools, and various digital applications.• Key Skills: Strong communication, organizational, and customer-centric abilities.• Work Schedule: Availability to work Monday to Friday, from 12:00 AM to 7:00 AM (Overnight Shift).Benefits & Compensation:• Comprehensive Monthly Salary: $19,000 MXN (night bonus already included).• Direct Hire: Immediate direct hiring by GlobalTech Corporation.• Training: Full initial technical training provided to ensure your success.• Stability & Growth: Enjoy job stability with clear opportunities for professional advancement.• Work Environment: A supportive and excellent work environment.• Payment: Punctual bi-weekly payments.Work Location:• Alcaldía Miguel Hidalgo, CDMX• Modality: On-site.• Availability: Immediate.Take the next step in your tech career. Apply for our Overnight Support role!","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-night-shift-technical-support-agent-bilingual-mxn-19k-salary-en-cuauhtemoc-64ACBA516D7DE51361373E686DCF3405#lc=ListOffers-Score3-17"
"Desarrollador Senior - Java Script + ReactJs","Asteci","Miguel Hidalgo, Ciudad de México DF","$ 35,000.00","Somos una Consultora de TI con diversos clientes nacionales e internacionales.Estamos en búsqueda de un Desarrollador Senior enfocado al desarrollo moderno con sólida experiencia en Java Script, Type Script y React JsOFRECEMOS:Salario competitivo.Prestaciones de Ley.Seguro de gastos médicos menores y mayores.Esquema hibrido.Apoyo económico por teletrabajo.ACTIVIDADES:Diseño, desarrollo, integración, pruebas e implementación eficaces de requisitos empresariales complejos.Aplicación de conocimientos tecnológicos al diseño de modelos y/o sistemas, formulación de diseños técnicos detallados, investigación y recomendación de soluciones técnicas, desarrollo y entrega de aplicaciones mediante metodologías de desarrollo ágil.Capacidad para trabajar al más alto nivel técnico en el desarrollo de sistemas, manteniendo un sólido conocimiento de las estrategias y aplicaciones empresariales de gestión patrimonial.Liderazgo técnico, coordinación entre laboratorios, soporte a la producción y soporte a la implementación de versiones.REQUISITOS:+ 5 años de experiencia en el desarrollo del sofware.Java Script, TypeScript.Frameworks : ReactJS, NestJS, NextJSTesting: Jest, testing en generalUso de patrones de Diseño.Seguridad: Fortify, Checkmarx, BlackduckHerramientas CI: Jenkins, Git, GitFlow, Bitbucket, JIRA, Confluence, Sonar,Checkmarx, fortifyDynatrace, SplunkBlack duckMetolologías Agil, Scrum.Conocimiento de Desarrollo e Integración con REST APIs.+ 3 años de experiencia práctica Backend para la capa front-endInglés 80%INTERESADOS FAVOR DE POSTULARSE A TRAVÉS DE ESTE MEDIO PARA AGENDAR UNA ENTREVISTA DE TRABAJO.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-senior-java-script-reactjs-en-miguel-hidalgo-4A573AD4C04385F761373E686DCF3405#lc=ListOffers-Score3-18"
"Líder de Desarrollo Fullstack - Fullstack","AVASA","Mérida, Yucatán","$ 11,239","¿Quiénes somos?• Una compañía líder en el mercado, con presencia a nivel nacional. Hemos crecido de forma sostenida en los últimos años diversificándonos en distintos giros comercial dentro del sector automovilístico, brindando servicios y productos competitivos.Buscamos para nuestras oficinas en Mérida, un Líder técnico Desarrollador FullStack, para administrar nuestro equipo de desarrollo.¿Qué buscamos?• 4 a 5 años de experiencia como: Líder técnico, líder de desarrollo o Coordinador de Desarrollo.Un Líder de Desarrollo full-stack con amplios conocimientos y experiencia en el desarrollo web, capaz de trabajar tanto en el front-end como en el back-end, con sólidas habilidades de liderazgo, gestión de proyectos y comunicación para dirigir un equipo de desarrollo y garantizar la entrega exitosa de proyectos.Habilidades técnicas:• Front-end: HTML, CSS, JavaScript, frameworks y librerías (React.js, Next.js)• Back-end: Lenguajes como Python, Java, Node.js, bases de datos (SQL,MySQL Server, MariaDB), APIs.• Arquitectura: Conocimiento de arquitecturas web, patrones de diseño, testing y despliegue.• Herramientas: Control de versiones (Git, GitLab), sistemas y herramientas de gestión de proyectos como Jira, herramientas de automatización.Habilidades de liderazgo y gestión:• Gestión de equipos: Planificación, organización, motivación y evaluación del desempeño.• Gestión de proyectos: Definición de objetivos, planificación, seguimiento, resolución de problemas.• Comunicación: Capacidad para comunicarse eficazmente con el equipo, clientes y partes interesadas.• Resolución de problemas: Capacidad para identificar y solucionar problemas técnicos y de gestión.Funciones:• Definir la arquitectura y diseño técnico de la aplicación.• Dirigir y coordinar al equipo de desarrollo.• Establecer estándares de calidad y buenas prácticas de desarrollo.• Realizar revisión de código y garantizar la calidad del software.• Colaborar con otros equipos y partes interesadas.• Mantenerse actualizado sobre las últimas tecnologías y tendencias.• Contribuir al desarrollo técnico del equipo.• Asegurar la entrega exitosa de los proyectos.¿Por qué nosotros?Porque somos una empresa buscando la mejora constante e innovación.• Oferta: SB (directo, nominal, prestaciones de ley y beneficios internos).• Modalidad: 100% Presencial.• Horario: lunes a viernes 09:00 a 6:00 pm.• Ubicación: Zona norte, Mérida, Yucatán.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-lider-de-desarrollo-fullstack-fullstack-en-merida-FD4E97ADC1B2828661373E686DCF3405#lc=ListOffers-Score3-19"
"Engineer - Manufacturing and CNC Process Optimization","IMS Gear, S.A. de C.V.","El Marqués, Querétaro","No especificado","Location: Gainesville, GAJob Type: Full-Time, On-SiteSchedule: Day Shift | On-call when requiredDepartment: Manufacturing EngineeringReports To: Engineering ManagerPosition OverviewIMS Gear is seeking a highly skilled and motivated Engineer to join our manufacturing operations in Gainesville, Georgia. This position is central to our mission of delivering precision gear components by optimizing and improving our manufacturing processes. Youll work hands-on with equipment, CNC programming, and process innovation to enhance efficiency, reduce waste, and uphold our high quality and safety standards.Key ResponsibilitiesConduct process and machine capability studies; drive improvements.Develop and refine CNC processes, troubleshoot tooling issues, and perform G-code programming.Support APQP, FMEA, and Control Plan creation and reviews.Commission and accept complex equipment and machines.Select suppliers, evaluate technical offers, and coordinate purchases of indirect materials.Define, monitor, and adjust critical process parameters.Write and maintain detailed work instructions and training materials.Lead feasibility studies and implement custom or modified process solutions.Perform root cause analysis on alarms, quality complaints, and process failures.Collaborate cross-functionally on 8D problem-solving and continuous improvement projects.Ensure compliance with ISO14001, safety, and internal quality standards.Support robotic programming and machine control initiatives.Supervise student interns and introduce employees to new systems.Maintain automation maintenance logs and contribute to knowledge sharing (SharePoint).RequirementsEducationBachelors degree in mechanical engineering or a related field.Six Sigma Green Belt certification (preferred).ExperienceMinimum 5 years in high-volume manufacturing (preferably IATF environment).CNC Turning and CAD experience required.Familiarity with Star (Swiss) and conventional turning machines.FANUC CNC controller knowledge (required); Siemens CNC (preferred).Physical & Work Environment RequirementsOccasional lifting (up to 25 lbs.) and pushing/pulling (up to 50 lbs.).Frequent standing, walking, bending, reaching, and using fine motor skills.Exposure to active manufacturing environments PPE required (safety glasses, hearing protection, safety shoes).Benefits401(k) with 4% company match no vesting periodComprehensive Health, Dental, Vision InsuranceCompany-Paid Life and Disability Insurance15 Days PTO + 10 Paid HolidaysRelocation Support (as per policy)Why IMS Gear?At IMS Gear, we believe in shaping the future of mobility through precision and innovation. We are proud to foster a collaborative and inclusive workplace where your contributions matter. Join our team and be part of something that drives the world forward.Equal Opportunity EmployerIMS Gear is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees regardless of race, color, religion, gender, national origin, disability, or veteran status.Apply Today!Take the next step in your engineering career with IMS Gear. We look forward to welcoming you to our team.Disclaimer: This job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the position. Duties, responsibilities, and activities may change, or new ones may be assigned at any time with or without notice.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-engineer-manufacturing-and-cnc-process-optimization-en-el-marques-DF16EA59CBEDE60161373E686DCF3405#lc=ListOffers-Score3-0"
"Front Office Manager - Luxury Resort","Alliance Abroad LATAM","Los Cabos, Baja California Sur","$ 100,000.00","¡Hola a todos! Nos complace anunciar una nueva oportunidad de empleo en nuestra red de Hoteles.Buscamos un Front Desk Manager apasionado, con experiencia y habilidades de liderazgo sólidas para ir a trabajar a USA con visado TN (nosotros te guiamos en el proceso del visado).Location: Greenough, MontanaSalary/Wage $60,000 - $65,000 USD annuallyRequired: Multiple years of Forbes Five Star experienceResponsibilitiesTrains Front Office and Guest Services personnel to Forbes 5-Star standards.Creates weekly schedule for Front Desk and monitors staff scheduling to flex based on business needs.Maintains thorough knowledge of accommodations, package plans, and Resort facilities.Check guests in and out including preparation of folios and authorizing payments.Act as Manger on Duty (MOD).Responds to guest needs and anticipates their unstated ones.Ensure daily checklists are completed in Front Desk and Guest Services.Supportive Functions and ResponsibilitiesRemains flexible with open availability in order to cover the unexpected needs of the Resort.Expert knowledge of Maestro PMS, the hotel app, and all other programs and systems.Ability to lift and carry 50 pounds.Greets guests arriving and departing from the airport.Monitors daily arrivals and ensures accommodations are prepared prior to check in.Ensures the Lexus app is filled out and complete per our Lexus partnership.Audits daily arrivals and departures to ensure accurate guest flight information.Provide feedback to the team, both positive and constructive, to ensure we are hitting our targets.Analyze guest feedback and provide strategic direction to improve overall rating.First point of contact for guest feedback and service recovery situations. Must be comfortable accepting constructive feedback and correcting issues. Responsible for finding a solution for the guest to complete guest follow up.Positive attitude always, especially under pressure.Required skillsExcellent problem-solving and multitasking skills.Leadership skills along with the ability to motivate a team into high performance.Ability to work flexible hours and open availability.Strong sense of responsibility and a professional presentation.BS degree in Hospitality Management, Tourism, Business Administration or relevant field preferred.Valid State Drivers License (mexican).QualificationsRelevant work experience as a Guest Relations Manager, Hotel Manager, or similar role in a luxury environment.Understanding of all hotel management best practices and relevant laws.Hands-on experience with Hotel Management software (PMS).Proficiency in English; knowledge of other languages is a plus.Customer service drive with outstanding communication and active listening skillsHousing type-We offer housing for 3 months to allow them to settle in and establish their own place to live. Single occupancy room in The Junction apartment building. Bathroom in unit. Shared facilities (kitchens, laundry), free wifi.-$350 per month ($175 deducted from payroll every 2 weeks). $300 deposit ($100 deducted from payroll for the first 3 paychecks)Additional commentsWe require that they have a drivers license for at least 2 years and a clean motor vehicle report so that they can drive our vehicles while theyre in the process of getting their MT license.For all TN candidates this is the expectation: They will rent a car or rent via Turo (doesnt require a US drivers license) until they are able to purchase their own vehicle.Gas station, convenience store, and bar located next to the apartment building. Ten minute drive to The Resort. Twenty minute drive to the town of Seeley Lake for groceries, restaurants, etc.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-front-office-manager-luxury-resort-en-los-cabos-FB9346232B413B5761373E686DCF3405#lc=ListOffers-Score3-1"
"Food and Beverage Manager - Gerente de alimentos y bebidas","Alliance Abroad LATAM","Quintana Roo, Yucatán","$ 103,000.00","¡Hola a todos! Nos complace anunciar una nueva oportunidad de empleo en nuestra red de Hoteles.Buscamos un Gerente de Alimentos y Bebidas apasionado, con experiencia y habilidades de liderazgo sólidas parair a trabajar a USA con visado TN (nosotros te guiamos en el proceso del visado).Location: Greenough, MontanaSalary/Wage $62k AnnuallyPosition OverviewJoin the Team at Montanas Premier Luxury Ranch Resort!Nestled on a breathtaking 37,000-acre ranch, The Resort embodies the spirit of the American West. As a family-owned, award-winning destination, we inspire both guests and team members alike.We are seeking a talented Food and Beverage Manager to join our team. The role of the Food and Beverage Manager is to ensure world class service is provided for our guests in our various dining outlets. Responsibilities will encompass all facets of the resort food and beverage in the dining room but may include and not be limited to outside event venues, catered offerings, and special events. The dining manager must manage and maintain The Resort standards of service as well as seeking opportunities to enhance guest experience, while being fiscally responsible with our resources.ResponsibilitiesResponsible for all facets of our various dining outlets, including but not limited to; labor management, menu curation/training, wine inventory/training, purchasing, training, reporting and daily serviceResponsible for all staff scheduling according to volume of business; understand how to be flexible when necessary to meet labor expectations; ability to adjust daily operations to be in line with the budgetResponsible for all employee relations to include accountability and documentationAid in recruiting, hiring, and training and growing exceptional Food & Beverage team members; Plan and provide training and guidance daily, weekly, and monthlyKnow, understand and train others on operating systems such as the POS system, Open Table and others, as requiredKnowledgeable on all menu items including preparation, any allergens, and alternative preparationsWork to continually improve guest dining satisfaction while maintaining the operating budgetImprove service by communicating and assisting to understand and guest needs, providing guidance, feedback, and individual coaching when neededSubmit future goals, operational improvements, and employee management to Director of RestaurantsProvide day-to-day guidance and oversight of Food & Beverage team members; actively promote, train, coach, and recognize performanceIdentify, address and document individual team member performance problems according to standard operating procedureResponsible for all inventories of china, glassware, and silverwareManage operations and ensures compliance with all Food & Beverage policies, sanitation, food standards and proceduresMaintain flexible hours to accommodate guest and special event needs, due to the cyclical nature of the hospitality industry; Position requires full availability including evenings, weekends, holidays or as neededMaintain complete knowledge of and comply with all departmental policies/service procedureRequired skills3+ years experience in Food & Beverage Management in a resort or fine dining settingHousing type-We offer housing for 3 months to allow them to settle in and establish their own place to live. Single occupancy room in The Junction apartment building. Bathroom in unit. Shared facilities (kitchens, laundry), free wifi.-$350 per month ($175 deducted from payroll every 2 weeks). $300 deposit ($100 deducted from payroll for the first 3 paychecks)Additional commentsWe require that they have a drivers license for at least 2 years and a clean motor vehicle report so that they can drive our vehicles while theyre in the process of getting their MT license.For all TN candidates this is the expectation: They will rent a car or rent via Turo (doesnt require a US drivers license) until they are able to purchase their own vehicle.Gas station, convenience store, and bar located next to the apartment building. Ten minute drive to The Resort. Twenty minute drive to the town of Seeley Lake for groceries, restaurants, etc.What We Offer:Medical, Dental, Vision Insurance401K with Employer MatchPaid Time Off 9 Floating Holidays and 15 Personal DaysCareer Development and Advancement OpportunitiesLife Insurance, Long Term, and Short-Term DisabilityEmployee Assistance Program (5 free counseling sessions)Referral Bonus ProgramEmployee Discounts on Merchandise (30% on select items in our retail store)Employee Lunch ProvidedSend your CV through this medium and take the first step towards a new and exciting stage in your professional career.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-food-and-beverage-manager-gerente-de-alimentos-y-bebidas-en-quintana-roo-ADEB52CF3A13E1EB61373E686DCF3405#lc=ListOffers-Score3-2"
"Front End Developer Js - Senior","Asteci","Miguel Hidalgo, Ciudad de México DF","$ 35,000.00","Somos una Consultora de TI con diversos clientes nacionales e internacionales.Buscamos un Front End Senior enfocado al desarrollo moderno con sólida experiencia en Java Script, Type Script y React JsRequisitos clave:+ 5 años de experiencia en el desarrollo del sofware.Java Script, TypeScript.Frameworks : ReactJS, NestJS, NextJSTesting: Jest, testing en generalUso de patrones de Diseño.Seguridad: Fortify, Checkmarx, BlackduckHerramientas CI: Jenkins, Git, GitFlow, Bitbucket, JIRA, Confluence, Sonar,Checkmarx, fortifyDynatrace, SplunkBlack duckMetolologías Agil, Scrum.Conocimiento de Desarrollo e Integración con REST APIs.+ 3 años de experiencia práctica Backend para la capa front-endInglés 80%Actividades:Diseño, desarrollo, integración, pruebas e implementación eficaces de requisitos empresariales complejos.Aplicación de conocimientos tecnológicos al diseño de modelos y/o sistemas, formulación de diseños técnicos detallados, investigación y recomendación de soluciones técnicas, desarrollo y entrega de aplicaciones mediante metodologías de desarrollo ágil.Capacidad para trabajar al más alto nivel técnico en el desarrollo de sistemas, manteniendo un sólido conocimiento de las estrategias y aplicaciones empresariales de gestión patrimonial.Liderazgo técnico, coordinación entre laboratorios, soporte a la producción y soporte a la implementación de versiones.Ofrecemos:Salario competitivo.Prestaciones de Ley.Seguro de gastos médicos menores y mayores.Esquema hibrido.Apoyo económico por teletrabajo.INTERESADOS FAVOR DE POSTULARSE ATRAVES DE ESTE MEDIO PARA AGENDAR UNA ENTREVISTA DE TRABAJO.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-front-end-developer-js-senior-en-miguel-hidalgo-74D00C28B76CFF9161373E686DCF3405#lc=ListOffers-Score3-3"
"Upper or Lower Elementary English CoTeacher - Hiring for August 2025","Escuela John F Kennedy","Querétaro, Querétaro","No especificado","JOB OPENING!With an over 60-year tradition educating the future leaders of Mexico, John F. Kennedy - The American School of Querétaro is an innovative bilingual K-12 school in central México accredited by the International Baccalaureate Organization (IB), AdvancED (United States), and the Secretaría de Educación Pública (SEP) that serves over 1,400 students from over 28 countries.If you are for an engaging, creative and innovative ENGLISH CO-TEACHER FOR UPPER OR LOWER GRADES interested in an opportunity regarding an innovative environment, following the highest education standards, employing emerging technologies in a multicultural atmosphere share with us your information!About the job…-We are looking for an experienced Elementary School Educator willing to co-teach with the head teacher connecting with students from upper grades offering creative, dynamic and motivating classes using “out-of-the-box” learning strategies.Requirements…- Bachelor’s Degree in Education, Psychology, Pedagogy or related to education, (Title and professional license needed)- Full command of English is required.- Experience working with upper or lower elementary schoolers in English, math, sciences, social studies, etc.- Highly PassionateIf you look for your next professional challenge, please send us your resume as soon as possible, this is an immediate hiring.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-upper-or-lower-elementary-english-coteacher-hiring-for-august-2025-en-queretaro-10919CC043D3788661373E686DCF3405#lc=ListOffers-Score3-4"
"Desarrollador Frontend - React, Java Script","Asteci","Miguel Hidalgo, Ciudad de México DF","$ 29,181","Consultora de TI con diversos clientes a nivel nacional e internacional solicita:Desarrollador Frontend Senior enfocado al desarrollo moderno con sólida experiencia en React JS, Java Script, Type Script.Requisitos:Lenguajes: JavaScript, TypeScriptFrameworks: ReactJS, NestJS, NextJSJest, testing en general.Uso de patrones de diseño.Seguridad: Fortify, Checkmarx, BlackduckHerramientas CI: Jenkins, Git, GitFlow, Bitbucket, JIRA, Confluence, SonarObservabilidad: Dynatrace, SplunkMetolologías Agil, Scrum.Conocimiento de Desarrollo e Integración con REST APIs.Inglés 80%.Actividades:Diseño, desarrollo, integración, pruebas e implementación eficaces de requisitos empresariales complejos.Aplicación de conocimientos tecnológicos al diseño de modelos y/o sistemas, formulación de diseños técnicos detallados, investigación y recomendación de soluciones técnicas, desarrollo y entrega de aplicaciones mediante metodologías de desarrollo ágil.Capacidad para trabajar al más alto nivel técnico en el desarrollo de sistemas, manteniendo un sólido conocimiento de las estrategias y aplicaciones empresariales de gestión patrimonial.Liderazgo técnico, coordinación entre laboratorios, soporte a la producción y soporte a la implementación de versiones.Ofrecemos:Salario competitivo.Prestaciones de Ley.Seguro de gastos médicos menores y mayores.Esquema hibrido.Apoyo económico por teletrabajo.INTERESADOS FAVOR DE POSTULARSE ATRAVES DE ESTE MEDIO PARA AGENDAR UNA ENTREVISTA DE TRABAJO.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-frontend-react-java-script-en-miguel-hidalgo-CAC9568689E2246761373E686DCF3405#lc=ListOffers-Score3-5"
"Frontend Developer - React","Asteci","Miguel Hidalgo, Ciudad de México DF","$ 29,181","Consultora de TI con diversos clientes a nivel nacional e internacional solicita:Front end Web Developer enfocado al desarrollo moderno con sólida experiencia en React JS, Java Script, Type Script.Requisitos:Lenguajes: JavaScript, TypeScriptFrameworks: ReactJS, NestJS, NextJSJest, testing en general.Uso de patrones de diseño.Seguridad: Fortify, Checkmarx, BlackduckHerramientas CI: Jenkins, Git, GitFlow, Bitbucket, JIRA, Confluence, SonarObservabilidad: Dynatrace, SplunkMetolologías Agil, Scrum.Conocimiento de Desarrollo e Integración con REST APIs.Inglés 80%.Actividades:Diseño, desarrollo, integración, pruebas e implementación eficaces de requisitos empresariales complejos.Aplicación de conocimientos tecnológicos al diseño de modelos y/o sistemas, formulación de diseños técnicos detallados, investigación y recomendación de soluciones técnicas, desarrollo y entrega de aplicaciones mediante metodologías de desarrollo ágil.Capacidad para trabajar al más alto nivel técnico en el desarrollo de sistemas, manteniendo un sólido conocimiento de las estrategias y aplicaciones empresariales de gestión patrimonial.Liderazgo técnico, coordinación entre laboratorios, soporte a la producción y soporte a la implementación de versiones.Ofrecemos:Salario competitivo.Prestaciones de Ley.Seguro de gastos médicos menores y mayores.Esquema hibrido.Apoyo económico por teletrabajo.INTERESADOS FAVOR DE POSTULARSE ATRAVES DE ESTE MEDIO PARA AGENDAR UNA ENTREVISTA DE TRABAJO.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-frontend-developer-react-en-miguel-hidalgo-BD73961FFBEA7F7161373E686DCF3405#lc=ListOffers-Score3-6"
"Digital Marketing Specialist","ALTA INFRAESTRUCTURA Y CONSTRUCCION","Benito Juárez, Quintana Roo","No especificado","We’re Hiring a Digital Marketing Specialist! | IA RemodelingOn-site | Full-Time | Growth-Focused EnvironmentAre you a results-driven marketer with a passion for paid ads, automation, and data? Want to join a fast-growing team in the remodeling & construction space where your creativity and tech skills drive real impact?At IA Remodeling, we don’t just build spaces—we build opportunity. And right now, we’re on the hunt for a Marketing Specialist who’s ready to take our lead generation engine to the next level — on-site with our energetic and collaborative team.What You’ll DoCreate, manage, and optimize advertising campaigns across Meta (Facebook & Instagram) and Google Ads platforms in USA markets.Build and optimize landing pages for campaigns, focusing on conversion rates and user experience.Install and configure tracking pixels (Meta Pixel, Google Tags) to ensure accurate campaign tracking and reporting.Integrate email marketing systems (such as Mailchimp, Klaviyo, or similar) to automate customer journeys and nurture leads.Set up and manage CRM systems to organize leads, customer data, and sales pipelines (e.g., HubSpot, GoHighLevel, Salesforce).Monitor campaign performance, analyze metrics, and provide actionable insights to improve results.Collaborate with design, sales, and operations teams to align marketing initiatives with business goals.What We’re Looking ForBilingual or Advanced English.Minimum 2+ years of experience in digital marketing, with a focus on paid ads in the USA markets, landing pages, CRM, and email marketing.Proven experience managing paid ads inside Meta and Google platforms, optimizing conversion campaigns (CTA, PPC).Experience managing a budget of +10 K USD/month.Experience building high-converting landing pages (WordPress, ClickFunnels, Webflow, or similar tools).Notions of AI tools for design is a plus.Strong understanding of pixel installation, event tracking, and retargeting strategies.Experience with email marketing setup, automation, and performance tracking.Hands-on experience setting up and managing CRMs and marketing automation tools.Analytical mindset with strong attention to detail.Ability to work in a fast-paced environment and manage multiple projects simultaneouslyThink you’re a great fit? Apply now and let’s build something amazing—together, in person.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-digital-marketing-specialist-en-benito-juarez-54BE2B3D1FB6315F61373E686DCF3405#lc=ListOffers-Score3-7"
"Mid Level or Senior Full Stack Developer .NET C# Angular Java","LOGOS Virtual Assistants LLC","Estados Unidos","$1,600","LOGOS Virtual Assistants is looking for a bilingual English, Full Stack Developer, to work on a medium-long-term project with a U.S. client.The project revolves around a large U.S. healthcare insurance provider, with multiple requirements for:- Supporting Role to the Design/Architecture team- Troubleshooting- Fixing Bugs/Debugging- Implementing new change requests for ongoing development on the existingtech stack.- Analytical Skills---------------------------------------------Essential Tech Stack Skills:The position will lean towards:- 70% Java competency (More work to be done on the Java side)- 30% .NET/C# competency-------------------------------------------Ideal years of experience with tech stack:- Java = [3-5+ Years]- .NET/C# = [3-4+ Years][Ideally in some web development part of .NET (MVC, Razor, Asp.net, etc)- Angular = [3-4 + Years](Multiyear experience with some version of Angular is a MUST. Great if the candidate has some Angular.Js experience, version 1.0)This is an opportunity to work in an English-based environment directly with a US-based IT Consultancy, managing large project requirements for a large healthcare provider supporting government programs such as Medicare/Medicaid.-------------------------------------------Compensation Range:- The position will pay according to experience and also English strength.- Pay is in USD- Pay range would be between $1,600-$3,100 USD, per month, as a fixedmonthly salary. [$28,800-$55,9550 MXN estimate]---------------------------------------------Next Steps:- CVs must be in English- Once your application is received, I will reach out to you directly to schedulean interview with CEO of Logos Virtual Assistants.- If selected, a 2nd short interview with the client.- If selected for final stage, a 3rd interview, which would take about 2-3 hours.- Formal offer will be made if successfully selected.We are looking to make the placement for a start date in middle to late July. We're able to move fast as long as the candidate is available. We anticipate a decision within 2-3 weeks.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-mid-level-or-senior-full-stack-developer-net-c-angular-java-en-estados-unidos-5F51DB72EBC7E61E61373E686DCF3405#lc=ListOffers-Score3-8"
"Ingeniero Programador Sr. JAVA","Importante empresa del sector","Benito Juárez, Ciudad de México DF","$ 25,000.00","Vacante: Ingeniero Programador Full StackUbicación: Instalaciones de CFE – Av. Cuauhtémoc, Col. del ValleHorario: Lunes a viernes de 8:00 a 18:00 hrsSomos una empresa líder en el sector de Telecomunicaciones con más de 35 años en el mercado. Estamos en búsqueda de talento comprometido y con iniciativa para integrarse a nuestro equipo como Ingeniero Programador Full Stack.?Perfil RequeridoEscolaridad:Ingeniería en Sistemas o carrera afínRequisitos:Actitud proactiva y disposición para aprenderCompromiso y puntualidadHabilidad para trabajar en equipo y liderar proyectosDisponibilidad de horarioCertificación en Java (en caso de no contar con ella, se deberá obtener con el conocimiento para poder certificarse estando dentro de la empresa)Conocimientos Técnicos:Angular, Next. js, React, Node. jsAdministración de servidores (Windows y Linux)SQL Server, PostgreSQLAnálisis, diseño e integración de bases de datosDesarrollo de interfaces front-endIdentificación de comportamientos anómalos en sistemasContenedores Docker y servicios en la nubeFunciones Principales:Desarrollo de reportes personalizados mediante consultas SQLOptimización y mantenimiento de bases de datosImplementación y modificación de APIs (Java, Angular, Node)Administración de servidores y esquemas de alta disponibilidad (HA / Always On)Diseño y desarrollo de arquitecturas de bases de datosSoporte en infraestructura sobre sistemas operativos Windows y LinuxOfrecemos:Sueldo mensual de $24,000 a $25,000 en esquema mixto (parte nominal y parte facturada)Prestaciones de leyApoyo de despensa mensual de $850Dos seguros de vidaContrato directo con la empresaOportunidad de obtener certificaciones relevantes en el área de telecomunicacionesSi cumples con el perfil y estás interesado en desarrollar tu carrera en una empresa sólida, postúlate enviando tu CV actualizado.","https://mx.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-programador-sr-java-en-benito-juarez-0DEDD414D2FD95C561373E686DCF3405#lc=ListOffers-Score3-9"
